year wheat barley oats rye corn
  1980 5,9   4,4    4,1   3,8  1
  1981 5,8   4,4    4,3   3,7  1
  1982 6,2   4,9    4,4   4,1  2
  1983 6,4   4,7    4,3   3,7  3
  1984 7,7   5,6    4,9   4,7  3
  1985 6,3   5,0    4,6   4,6  3
  1980 5,9   4,4    4,1   3,8  3
  1981 5,8   4,4    4,3   3,7  2
  1982 6,2   4,9    4,4   4,1  2
  1983 6,4   4,7    4,3   3,7  1
  1984 7,7   5,6    4,9   4,7  3
  1985 6,3   5,0    4,6   4,6  3
  1980 5,9   4,4    4,1   3,8  3
  1981 5,8   4,4    4,3   3,7  2
  1982 6,2   4,9    4,4   4,1  2
  1983 6,4   4,7    4,3   3,7  1
  1984 7,7   5,6    4,9   4,7  1
  1985 6,3   5,0    4,6   4,6  1
  1980 5,9   4,4    4,1   3,8  2
  1981 5,8   4,4    4,3   3,7  3
  1982 6,2   4,9    4,4   4,1  3
  1983 6,4   4,7    4,3   3,7  2
  1984 7,7   5,6    4,9   4,7  1
  1999 6,3   5,0    4,6   4,6  1
